position,name,combineyear,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,A.J. Granger,2000,79.5,80.88,227,81.5,103,,,,30,133,34,137,20,10.73,3.25,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A.J. Guyton,2000,72.75,73.5,175,75.75,97.5,,,,33,130.5,37.5,135,9,10.55,3.22,8,32,2002,23,45,6,607,88,244,0.361,46,123,0.374,42,121,0.347,22,27,0.815,12,32,44,81,10,7,37,23,244,11.8,0.477,0.455,0.111,0.504,2.3,6.3,4.2,23.6,0.9,0.9,12.6,22.2,97,112,0,0,0.1,0.006
G,Alex Scales,2000,74.25,75,185,81,97.5,,,,38.5,136,42.5,140,10,10.98,3.21,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Antonis Fotsis,2000,81.25,82.25,219,80.5,106,,,,27,133,30,136,2,11.6,3.44,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aubrey Reese,2000,70.75,71.5,189,77.5,94.5,,,,31.5,126,37.5,132,14,11.13,3.25,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootsy Thornton,2000,75.5,76.5,195,78.5,101.5,,,,26.5,128,31,132.5,7,12.08,3.33,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brandon Kurtz,2000,81.5,82.5,257,83.25,106.5,,,,,,,,7,,,61,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brian Montonati,2000,80.75,81.75,215,82.5,106,,,,25,131,29,135,5,11.85,3.53,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caswell Cyrus,2000,79.75,81,221,86,107.5,,,,33.5,141,37.5,145,18,12.12,3.16,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceedric Goodwyn,2000,78,79.25,238,82,104.5,,,,,,,,,,,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Chris Porter,2000,77.5,78.5,214,81.5,103.5,,,,28.5,132,35,138.5,6,10.93,3.2,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cory Hightower,2000,77.5,78.5,183,83,101.5,,,,29.5,131,34.5,136,,11.92,3.37,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damon Reed,2000,80.5,81.5,228,81.5,104.5,,,,27.5,132,31.5,136,4,11.21,3.31,32,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Dan Langhi,2000,81,82,198,80,104,,,,31,135,34.5,138.5,12,10.85,3.24,10,31,2002,24,34,8,434,49,125,0.392,1,4,0.25,48,121,0.397,8,11,0.727,22,45,67,14,8,5,9,25,107,8.5,0.412,0.396,0.088,0.032,5.7,12,8.8,5.4,1,0.8,6.5,14.8,94,111,-0.1,0.1,0,0.001
C,Dan McClintock,2000,83,84.5,250,85.5,107,,,,33,140,35,142,20,11.52,3.33,16,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Donnell Harvey,2000,79.25,,220,84.5,105.5,,,,33,138.5,32.5,138,15,11.23,,27,22,2002,21,47,4,841,108,217,0.498,0,0,,108,217,0.498,54,90,0.6,80,147,227,37,21,24,33,115,270,14.1,0.526,0.498,0.415,0,10.4,20.5,15.3,7.2,1.3,2.1,11.4,15.4,110,106,1.1,0.7,1.8,0.105
,Ed Cota,2000,72.25,73.5,189,76,96.5,,,,26.5,123,33.5,130,1,10.98,3.24,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Eddie Gill,2000,71.75,72.75,176,76,93,,,,35,128,38.5,131.5,13,11.12,3.18,3,No,2002,23,23,5,384,39,92,0.424,7,22,0.318,32,70,0.457,31,39,0.795,7,21,28,49,11,3,34,38,116,9.2,0.531,0.462,0.424,0.239,2,6.1,4.1,20.6,1.5,0.5,23.7,16.9,95,110,0,0.1,0.1,0.011
G,Eddie House,2000,71.75,72.5,177,75.5,95,,,,29.5,124.5,38.5,133.5,5,11.12,3.27,21,37,2002,23,64,3,1230,209,524,0.399,54,157,0.344,155,367,0.422,42,49,0.857,17,93,110,123,43,5,80,98,514,11.6,0.471,0.45,0.094,0.3,1.6,8.8,5.2,18.8,1.9,0.3,12.8,24.3,92,103,-0.7,1.6,0.9,0.036
F,Eduardo Najera,2000,78.5,79.5,235,83.5,104.5,,,,28,132.5,35,139.5,15,11.38,3.45,25,38,2002,25,62,11,1357,150,300,0.5,0,2,0,150,298,0.503,100,148,0.676,149,193,342,38,56,30,40,156,400,14.8,0.548,0.5,0.493,0.007,12.4,15.6,14,4,2.1,1.6,9.9,13.5,119,106,2.8,1.2,4,0.142
,Eric Coley,2000,76,77,205,83,102,,,,35,137,38,140,10,11.4,3.15,11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Ernest Brown,2000,82,83.25,223,85.25,109.5,,,,,,,,2,,,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gabe Muoneke,2000,78.25,79.5,244,84.5,105,,,,30.5,135.5,34,139,22,11,3.4,15,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harold Arceneaux,2000,76.5,77.88,219,80.5,103,,,,,,29,132,,13.8,,62,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Igor Rakocevic,2000,74.5,75.25,184,77.25,100,,,,27.5,127.5,34,134,9,10.4,3.1,13,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Jabari Smith,2000,81.75,83,241,86.5,109.5,,,,24.5,134,30,139.5,15,12.45,3.43,45,45,2002,24,23,0,181,26,63,0.413,0,3,0,26,60,0.433,21,32,0.656,8,20,28,11,6,6,5,31,73,13.1,0.474,0.413,0.508,0.048,5,11.9,8.5,9.7,1.7,2.3,6.1,20.4,104,101,0.2,0.3,0.5,0.121
,Jacob Jaacks,2000,81.25,82,238,83,105.5,,,,26,131.5,32,137.5,3,11.48,3.58,56,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
