position,name,year,heightwoshoes,heightwshoes,weight,wingspan,reach,bodyfat,handlength,handwidth,nostepvert,nostepvertreach,maxvert,maxvertreach,bench,agility,sprint,rank,drafted,year,age,games,gamesstarted,mp,fg,fga,fgpct,threep,threepa,threeppct,twop,twopa,twoppct,ft,fta,ftpct,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspct,efgpct,ftr,threepar,orbpct,drbpct,trbpct,astpct,stlpct,blkpct,tovpct,usgpct,ortg,drtg,ows,dws,ws,wsp48
,A.J. Granger,2000,79.5,80.88,227,81.5,103,,,,30,133,34,137,20,10.73,3.25,6,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A.J. Guyton,2000,72.75,73.5,175,75.75,97.5,,,,33,130.5,37.5,135,9,10.55,3.22,8,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Alex Scales,2000,74.25,75,185,81,97.5,,,,38.5,136,42.5,140,10,10.98,3.21,7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Antonis Fotsis,2000,81.25,82.25,219,80.5,106,,,,27,133,30,136,2,11.6,3.44,55,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aubrey Reese,2000,70.75,71.5,189,77.5,94.5,,,,31.5,126,37.5,132,14,11.13,3.25,9,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bootsy Thornton,2000,75.5,76.5,195,78.5,101.5,,,,26.5,128,31,132.5,7,12.08,3.33,46,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brandon Kurtz,2000,81.5,82.5,257,83.25,106.5,,,,,,,,7,,,61,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brian Montonati,2000,80.75,81.75,215,82.5,106,,,,25,131,29,135,5,11.85,3.53,57,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caswell Cyrus,2000,79.75,81,221,86,107.5,,,,33.5,141,37.5,145,18,12.12,3.16,12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ceedric Goodwyn,2000,78,79.25,238,82,104.5,,,,,,,,,,,65,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Chris Porter,2000,77.5,78.5,214,81.5,103.5,,,,28.5,132,35,138.5,6,10.93,3.2,19,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cory Hightower,2000,77.5,78.5,183,83,101.5,,,,29.5,131,34.5,136,,11.92,3.37,47,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damon Reed,2000,80.5,81.5,228,81.5,104.5,,,,27.5,132,31.5,136,4,11.21,3.31,32,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Dan Langhi,2000,81,82,198,80,104,,,,31,135,34.5,138.5,12,10.85,3.24,10,31,2004,26,6,0,37,5,14,0.357,1,2,0.5,4,12,0.333,2,2,1,0,4,4,0,0,0,2,7,13,1.8,0.437,0.393,0.143,0.143,0,12.2,6.1,0,0,0,11.8,20.9,81,109,-0.1,0,-0.1,-0.068
C,Dan McClintock,2000,83,84.5,250,85.5,107,,,,33,140,35,142,20,11.52,3.33,16,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Donnell Harvey,2000,79.25,,220,84.5,105.5,,,,33,138.5,32.5,138,15,11.23,,27,22,2004,23,60,8,783,89,201,0.443,0,3,0,89,198,0.449,61,83,0.735,48,116,164,21,24,27,45,129,239,10.4,0.503,0.443,0.413,0.015,6.9,17,11.9,4.3,1.6,2.5,15.9,16.3,97,106,0.2,0.5,0.7,0.043
,Ed Cota,2000,72.25,73.5,189,76,96.5,,,,26.5,123,33.5,130,1,10.98,3.24,29,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Eddie Gill,2000,71.75,72.75,176,76,93,,,,35,128,38.5,131.5,13,11.12,3.18,3,No,2005,26,73,3,1021,81,242,0.335,36,117,0.308,45,125,0.36,71,81,0.877,16,96,112,83,59,5,60,105,269,9.5,0.484,0.409,0.335,0.483,1.9,11,6.5,13.8,3.2,0.4,17.8,15.8,95,103,-0.3,1.4,1.1,0.053
G,Eddie House,2000,71.75,72.5,177,75.5,95,,,,29.5,124.5,38.5,133.5,5,11.12,3.27,21,37,2004,25,60,10,1188,161,449,0.359,51,136,0.375,110,313,0.351,36,45,0.8,28,110,138,148,65,4,63,92,409,12,0.436,0.415,0.1,0.303,2.7,10.6,6.6,21.6,2.9,0.2,11.8,19.8,96,108,0.2,0.5,0.7,0.027
F,Eduardo Najera,2000,78.5,79.5,235,83.5,104.5,,,,28,132.5,35,139.5,15,11.38,3.45,25,38,2004,27,58,7,720,72,162,0.444,2,4,0.5,70,158,0.443,30,46,0.652,67,89,156,25,35,19,29,90,176,11.5,0.483,0.451,0.284,0.025,9.9,13.8,11.8,4.7,2.5,2,13.7,12.8,104,105,0.6,0.5,1.1,0.074
,Eric Coley,2000,76,77,205,83,102,,,,35,137,38,140,10,11.4,3.15,11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,Ernest Brown,2000,82,83.25,223,85.25,109.5,,,,,,,,2,,,63,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
